物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL,築年数_num,面積_num,家賃_num,徒歩分_num,駅名
ＥＶＡ－０１,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 歩23分
ＪＲ日豊本線/鶴崎駅 歩45分",築15年,2階,2LDK,60.33m2,5.5万円,https://suumo.jp/chintai/jnc_000099502735/?bc=100441963491,15,60.33,5.5,23,大在駅
シーウィンド1,大分県大分市大在浜２,大在駅,"ＪＲ日豊本線/大在駅 歩18分
ＪＲ日豊本線/坂ノ市駅 歩31分
ＪＲ日豊本線/鶴崎駅 歩63分",築17年,2階,1LDK,41.04m2,4.8万円,https://suumo.jp/chintai/jnc_000016280028/?bc=100437311675,17,41.04,4.8,18,大在駅
エンカウンター,大分県大分市大在浜１,大在駅,ＪＲ日豊本線/大在駅 歩14分,築19年,2階,1LDK,41.04m2,4.8万円,https://suumo.jp/chintai/jnc_000052207599/?bc=100433331941,19,41.04,4.8,14,大在駅
エンシーナ,大分県大分市仲西町１,高城駅,"ＪＲ日豊本線/高城駅 歩18分
ＪＲ日豊本線/牧駅 歩33分
ＪＲ日豊本線/鶴崎駅 歩36分",築28年,3階,3DK,51.73m2,4.5万円,https://suumo.jp/chintai/jnc_000083783183/?bc=100336412357,28,51.73,4.5,18,高城駅
マリアージュ,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩13分
ＪＲ日豊本線/高城駅 歩43分
ＪＲ日豊本線/大在駅 歩54分",築8年,2階,1LDK,44.89m2,5.2万円,https://suumo.jp/chintai/jnc_000028033357/?bc=100435877256,8,44.89,5.2,13,鶴崎駅
カルム市原Ａ,大分県大分市大字葛木,鶴崎駅,ＪＲ日豊本線/鶴崎駅 バス12分 (バス停)葛木入口 歩4分,築15年,2階,2DK,45.39m2,4.6万円,https://suumo.jp/chintai/jnc_000099298329/?bc=100443918095,15,45.39,4.6,4,鶴崎駅
エミネスタウンＳーII,大分県大分市横尾東町４,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス15分 (バス停)西寺 歩3分
ＪＲ日豊本線/大分駅 バス29分 (バス停)葛木入口 歩14分",築14年,2階,1LDK,42.19m2,4.75万円,https://suumo.jp/chintai/jnc_000099215304/?bc=100443060572,14,42.19,4.75,3,鶴崎駅
ドゥーメゾン,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩20分
ＪＲ豊肥本線/敷戸駅 バス8分 (バス停)大分大学前駅 歩20分
ＪＲ日豊本線/大分駅 バス29分 (バス停)大分大学前駅 歩20分",築20年,2階,1LDK,40.06m2,4.65万円,https://suumo.jp/chintai/jnc_000097316968/?bc=100430974945,20,40.06,4.65,20,大分大学前駅
ＪＲ豊肥本線 大分大学前駅 2階建 築20年,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩20分
ＪＲ豊肥本線/敷戸駅 バス8分 (バス停)大分大学前駅 歩20分
ＪＲ日豊本線/大分駅 バス29分 (バス停)大分大学前駅 歩20分",築20年,2階,1LDK,40.06m2,4.65万円,https://suumo.jp/chintai/jnc_000099433752/?bc=100444067567,20,40.06,4.65,20,大分大学前駅
ニューサカエールI,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 バス3分 (バス停)久保 歩10分
ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)久保 歩10分
ＪＲ日豊本線/坂ノ市駅 バス11分 (バス停)久保 歩10分",築17年,2階,2LDK,58.86m2,5.4万円,https://suumo.jp/chintai/jnc_000098354796/?bc=100424306287,17,58.86,5.4,10,大在駅
グラシア寺崎,大分県大分市寺崎町２,高城駅,"ＪＲ日豊本線/高城駅 歩16分
大分バス/山津 歩3分",築6年,3階,1LDK,39.43m2,5.8万円,https://suumo.jp/chintai/jnc_000098915535/?bc=100440208799,6,39.43,5.8,16,高城駅
サニーガーデンＢ,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩28分,築10年,2階,2LDK,57.07m2,5.3万円,https://suumo.jp/chintai/jnc_000098850944/?bc=100439653151,10,57.07,5.3,28,坂ノ市駅
エクセル野田,大分県大分市大字下郡,牧駅,"ＪＲ日豊本線/牧駅 歩14分
ＪＲ日豊本線/高城駅 歩33分
ＪＲ久大本線/大分駅 歩35分",築30年,4階,2LDK,54.86m2,5.1万円,https://suumo.jp/chintai/jnc_000099369634/?bc=100263547494,30,54.86,5.1,14,牧駅
クラージュ　ＫｏＭｅＴａＫｅ,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩22分
大分バス/小池原 歩4分",築9年,2階,1LDK,36m2,4.8万円,https://suumo.jp/chintai/jnc_000014853621/?bc=100437715762,9,36.0,4.8,22,高城駅
エトワールＯＺ,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩19分,築23年,2階,2LDK,59.39m2,5万円,https://suumo.jp/chintai/jnc_000089763054/?bc=100434350121,23,59.39,5.0,19,大在駅
イーメゾンもりおかI,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩9分,築9年,2階,2LDK,57.21m2,5.9万円,https://suumo.jp/chintai/jnc_000098850955/?bc=100439721000,9,57.21,5.9,9,滝尾駅
スターテラス　小池原II,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩20分
大分バス/小池原停 歩1分",築16年,2階,1LDK,44.52m2,4.9万円,https://suumo.jp/chintai/jnc_000080879488/?bc=100436313121,16,44.52,4.9,20,高城駅
ファミリア　フェリーチェ,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩32分
ＪＲ日豊本線/牧駅 歩42分",築13年,2階,1LDK,38.25m2,4.9万円,https://suumo.jp/chintai/jnc_000097304807/?bc=100392803593,13,38.25,4.9,20,高城駅
Ｈｏｐｅ花江川,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩20分,築17年,2階,2LDK,53.59m2,6.2万円,https://suumo.jp/chintai/jnc_000098850991/?bc=100434271208,17,53.59,6.2,20,大在駅
ベルセレーノ　Ｂ,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩7分,築21年,2階,2LDK,51.67m2,5.2万円,https://suumo.jp/chintai/jnc_000090867099/?bc=100434350456,21,51.67,5.2,7,鶴崎駅
ひまわり,大分県大分市横田２,大在駅,ＪＲ日豊本線/大在駅 歩12分,築18年,2階,1LDK,42.8m2,4.7万円,https://suumo.jp/chintai/jnc_000098539232/?bc=100437458973,18,42.8,4.7,12,大在駅
シャーメゾン・ハクサン　B棟,大分県大分市坂ノ市南２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩12分,築20年,2階,2LDK,57.81m2,5.6万円,https://suumo.jp/chintai/jnc_000097079093/?bc=100426198613,20,57.81,5.6,12,坂ノ市駅
アールズ　ハイム,大分県大分市向原西２,高城駅,"ＪＲ日豊本線/高城駅 歩22分
ＪＲ日豊本線/牧駅 歩43分
ＪＲ日豊本線/鶴崎駅 歩50分",築5年,3階,1LDK,38.25m2,4.9万円,https://suumo.jp/chintai/jnc_000062748117/?bc=100438480255,5,38.25,4.9,22,高城駅
サン・プリムローズII,大分県大分市大在北４,大在駅,ＪＲ日豊本線/大在駅 歩17分,築8年,2階,1LDK,45.09m2,5.15万円,https://suumo.jp/chintai/jnc_000099020088/?bc=100440947530,8,45.09,5.15,17,大在駅
サニーフィールズ寒田I,大分県大分市大字寒田,敷戸駅,ＪＲ豊肥本線/敷戸駅 歩14分,築10年,2階,1LDK,50.09m2,5.3万円,https://suumo.jp/chintai/jnc_000098398213/?bc=100437460058,10,50.09,5.3,14,敷戸駅
パルコ－ト,大分県大分市志村１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩22分
ＪＲ日豊本線/大在駅 歩28分
ＪＲ日豊本線/高城駅 歩58分",築21年,2階,2LDK,57.22m2,5万円,https://suumo.jp/chintai/jnc_000086019807/?bc=100411843044,21,57.22,5.0,22,鶴崎駅
フローリッシュＢＭ,大分県大分市大字寒田,大分大学前駅,ＪＲ豊肥本線/大分大学前駅 歩21分,築18年,3階,1LDK,45.03m2,4.4万円,https://suumo.jp/chintai/jnc_000099457250/?bc=100444038646,18,45.03,4.4,21,大分大学前駅
サンシャイン王子原III,大分県大分市横尾東町２,鶴崎駅,ＪＲ日豊本線/鶴崎駅 バス15分 (バス停)中筋 歩3分,築15年,2階,2LDK,57.76m2,5.8万円,https://suumo.jp/chintai/jnc_000099495043/?bc=100444774212,15,57.76,5.8,3,鶴崎駅
グリーンティアラB,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩19分
ＪＲ日豊本線/鶴崎駅 歩51分",築20年,2階,2DK,50.12m2,5.2万円,https://suumo.jp/chintai/jnc_000016310779/?bc=100353108889,20,50.12,5.2,19,大在駅
ホームズ　ソレイユＢ,大分県大分市大字鶴崎,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩2分
ＪＲ日豊本線/高城駅 歩43分",築20年,2階,2LDK,57.22m2,5.4万円,https://suumo.jp/chintai/jnc_000097636427/?bc=100430109817,20,57.22,5.4,2,鶴崎駅
夢　ストーク三代Ｂ,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩23分,築18年,2階,2LDK,58.86m2,5.4万円,https://suumo.jp/chintai/jnc_000097164942/?bc=100426735666,18,58.86,5.4,23,大在駅
カサベルデ政所,大分県大分市大字政所,大在駅,"ＪＲ日豊本線/大在駅 歩10分
ＪＲ日豊本線/鶴崎駅 バス14分 (バス停)中向 歩9分
ＪＲ日豊本線/大分駅 バス38分 (バス停)中向 歩9分",築31年,2階,2LDK,54.81m2,4.7万円,https://suumo.jp/chintai/jnc_000099205631/?bc=100442544472,31,54.81,4.7,10,大在駅
エル　アヴェニール曙台,大分県大分市曙台１,大在駅,"ＪＲ日豊本線/大在駅 歩23分
ＪＲ日豊本線/坂ノ市駅 歩37分
ＪＲ日豊本線/鶴崎駅 歩66分",築9年,2階,1LDK,50.07m2,4.9万円,https://suumo.jp/chintai/jnc_000098539228/?bc=100430750925,9,50.07,4.9,23,大在駅
プロムナード里１,大分県大分市小佐井１,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩19分
ＪＲ日豊本線/大在駅 歩42分",築16年,2階,1LDK,45.72m2,4.55万円,https://suumo.jp/chintai/jnc_000098539236/?bc=100430391548,16,45.72,4.55,19,坂ノ市駅
サンリット　I,大分県大分市三川下１,高城駅,"ＪＲ日豊本線/高城駅 バス20分 (バス停)三ッ川下 歩5分
ＪＲ日豊本線/鶴崎駅 バス10分 (バス停)三ッ川下 歩5分
ＪＲ日豊本線/牧駅 バス25分 (バス停)三ッ川下 歩5分",築17年,2階,2LDK,58.86m2,5.7万円,https://suumo.jp/chintai/jnc_000098354791/?bc=100427376598,17,58.86,5.7,5,高城駅
リバーハイムA,大分県大分市大字東上野,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩29分,築23年,2階,2LDK,58.98m2,4.2万円,https://suumo.jp/chintai/jnc_000093920016/?bc=100423523857,23,58.98,4.2,29,坂ノ市駅
Ｓｗｅｅｔ　Ｍｅｍｏｒｙ,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩11分,築28年,2階,2LDK,55.98m2,5.3万円,https://suumo.jp/chintai/jnc_000053773228/?bc=100444358374,28,55.98,5.3,11,滝尾駅
ラ・バレンシア,大分県大分市須賀２,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)須賀 歩7分
ＪＲ日豊本線/坂ノ市駅 バス14分 (バス停)須賀 歩7分",築19年,2階,1LDK,46.49m2,4.5万円,https://suumo.jp/chintai/jnc_000091501003/?bc=100407735466,19,46.49,4.5,20,大在駅
ＨＡＰＰＩＮＥＳＳ,大分県大分市大字森町,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩20分
ＪＲ日豊本線/高城駅 歩46分
ＪＲ日豊本線/大在駅 歩59分",築13年,3階,2LDK,60.97m2,6.1万円,https://suumo.jp/chintai/jnc_000050401566/?bc=100429268485,13,60.97,6.1,20,鶴崎駅
ミニョンガーデン,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩14分
ＪＲ日豊本線/大分駅 バス20分 (バス停)滝尾校区公民館前 歩5分",築9年,2階,1LDK,49.14m2,5.4万円,https://suumo.jp/chintai/jnc_000099390716/?bc=100413890657,9,49.14,5.4,14,滝尾駅
レジデンス片島I,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩19分,築30年,3階,3DK,66.22m2,5万円,https://suumo.jp/chintai/jnc_000099507557/?bc=100444358368,30,66.22,5.0,19,滝尾駅
オーセルII,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩8分,築16年,2階,2LDK,58.48m2,5.9万円,https://suumo.jp/chintai/jnc_000099292290/?bc=100436507794,16,58.48,5.9,8,滝尾駅
ミミヤヒル　Ｃ,大分県大分市大字猪野,高城駅,ＪＲ日豊本線/高城駅 バス15分 (バス停)猪野下 歩3分,築16年,2階,1LDK,37.13m2,4.35万円,https://suumo.jp/chintai/jnc_000099313219/?bc=100443192949,16,37.13,4.35,3,高城駅
ホームズ　コンフォールII,大分県大分市大字鶴崎,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩6分
ＪＲ日豊本線/大在駅 バス11分 (バス停)鶴崎駅前 歩7分
ＪＲ日豊本線/大分駅 バス27分 (バス停)鶴崎駅前 歩7分",築11年,2階,1K,30m2,4.5万円,https://suumo.jp/chintai/jnc_000098354780/?bc=100437399845,11,30.0,4.5,6,鶴崎駅
リバーサイドそれいゆI,大分県大分市大字下判田,中判田駅,ＪＲ豊肥本線/中判田駅 歩6分,築11年,2階,1LDK,50.12m2,5万円,https://suumo.jp/chintai/jnc_000099345138/?bc=100443411703,11,50.12,5.0,6,中判田駅
エスポワール（小池原）,大分県大分市大字小池原小池原,高城駅,ＪＲ日豊本線/高城駅 歩14分,築20年,2階,1LDK,40.29m2,4.9万円,https://suumo.jp/chintai/jnc_000097929351/?bc=100432609305,20,40.29,4.9,14,高城駅
サンヒルズ,大分県大分市里３,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩18分
ＪＲ日豊本線/大在駅 歩34分",築20年,2階,2DK,51.15m2,4.6万円,https://suumo.jp/chintai/jnc_000099361111/?bc=100411498593,20,51.15,4.6,18,坂ノ市駅
ラ　バレンシア２,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩23分,築10年,2階,1LDK,45.82m2,4.7万円,https://suumo.jp/chintai/jnc_000098168989/?bc=100405311156,10,45.82,4.7,23,坂ノ市駅
レイコート羽田,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩18分
ＪＲ久大本線/古国府駅 歩36分
ＪＲ日豊本線/牧駅 歩37分",築23年,3階,2LDK,63.91m2,5.8万円,https://suumo.jp/chintai/jnc_000099460841/?bc=100439639257,23,63.91,5.8,18,滝尾駅
コンセールＮＫ,大分県大分市三佐４,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩16分
ＪＲ日豊本線/高城駅 歩40分
ＪＲ日豊本線/大在駅 歩62分",築20年,8階,1LDK,43.81m2,4.8万円,https://suumo.jp/chintai/jnc_000096746650/?bc=100423849443,20,43.81,4.8,16,鶴崎駅
グランスイート,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩13分
ＪＲ久大本線/南大分駅 歩18分
ＪＲ日豊本線/大分駅 バス18分 (バス停)賀来入口 歩8分",築12年,2階,1LDK,46.55m2,5.35万円,https://suumo.jp/chintai/jnc_000099502741/?bc=100441805122,12,46.55,5.35,13,賀来駅
ラ・フィーネ弐番館,大分県大分市明磧町２,南大分駅,"ＪＲ久大本線/南大分駅 歩13分
ＪＲ久大本線/古国府駅 歩31分
ＪＲ久大本線/賀来駅 歩33分",築16年,8階,1LDK,37.5m2,5.3万円,https://suumo.jp/chintai/jnc_000057968830/?bc=100434416734,16,37.5,5.3,13,南大分駅
ユニゾンゑびす,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩5分,築18年,2階,2DK,46.49m2,4.3万円,https://suumo.jp/chintai/jnc_000098539230/?bc=100431059998,18,46.49,4.3,5,坂ノ市駅
ユーミー横田,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩13分
ＪＲ日豊本線/坂ノ市駅 歩47分",築17年,3階,3DK,60.97m2,6.1万円,https://suumo.jp/chintai/jnc_000055552380/?bc=100434804771,17,60.97,6.1,13,大在駅
セジュール花みずき,大分県大分市大在北３,,-/大分バス　須賀 歩9分,築17年,2階,1LDK,38.3m2,4.6万円,https://suumo.jp/chintai/jnc_000099350367/?bc=100406089195,17,38.3,4.6,9,
エンジェル　スカイ,大分県大分市大字荏隈,南大分駅,"ＪＲ久大本線/南大分駅 歩12分
ＪＲ久大本線/賀来駅 バス4分 (バス停)中の瀬団地入口 歩2分
ＪＲ日豊本線/大分駅 バス18分 (バス停)中の瀬団地入口 歩2分",築13年,2階,1LDK,45.97m2,5.3万円,https://suumo.jp/chintai/jnc_000098046344/?bc=100423401227,13,45.97,5.3,12,南大分駅
ＪＲ日豊本線 牧駅 2階建 築16年,大分県大分市下郡北３,牧駅,ＪＲ日豊本線/牧駅 歩20分,築16年,2階,1LDK,42.37m2,5.6万円,https://suumo.jp/chintai/jnc_000099587455/?bc=100444807335,16,42.37,5.6,20,牧駅
メゾンローズ二番館,大分県大分市王ノ瀬２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
ＪＲ日豊本線/大在駅 歩37分
ＪＲ日豊本線/幸崎駅 歩75分",築5年,2階,1LDK,50.42m2,5.35万円,https://suumo.jp/chintai/jnc_000099609247/?bc=100439357873,5,50.42,5.35,17,坂ノ市駅
コーリンエステートエビスI,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩7分,築14年,2階,2DK,45.39m2,4.35万円,https://suumo.jp/chintai/jnc_000098019292/?bc=100437399894,14,45.39,4.35,7,坂ノ市駅
フォルム・グレースＡ,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩10分,築10年,2階,2DK,46.06m2,5.4万円,https://suumo.jp/chintai/jnc_000098850956/?bc=100440009760,10,46.06,5.4,10,滝尾駅
フィオーレはやし,大分県大分市城東町,高城駅,"ＪＲ日豊本線/高城駅 歩12分
ＪＲ日豊本線/牧駅 歩14分
ＪＲ日豊本線/鶴崎駅 歩55分",築6年,8階,1LDK,44.8m2,6万円,https://suumo.jp/chintai/jnc_000096408793/?bc=100421357886,6,44.8,6.0,12,高城駅
プリムローズIV,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩14分,築9年,2階,1LDK,45.13m2,5.5万円,https://suumo.jp/chintai/jnc_000098730209/?bc=100415051047,9,45.13,5.5,14,滝尾駅
グレイスＨＡＬ　Ｂ,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩7分,築21年,2階,2LDK,51.67m2,5.4万円,https://suumo.jp/chintai/jnc_000097387843/?bc=100429806191,21,51.67,5.4,7,滝尾駅
コルシェーヌ,大分県大分市庄境,大在駅,ＪＲ日豊本線/大在駅 歩22分,築17年,2階,2LDK,57.13m2,5.6万円,https://suumo.jp/chintai/jnc_000027588809/?bc=100426272886,17,57.13,5.6,22,大在駅
マイ　キャッスル　新栄,大分県大分市新栄町,高城駅,"ＪＲ日豊本線/高城駅 歩13分
ＪＲ日豊本線/牧駅 歩18分
ＪＲ日豊本線/鶴崎駅 歩52分",築3年,2階,1K,32.25m2,4.85万円,https://suumo.jp/chintai/jnc_000091605103/?bc=100372800390,3,32.25,4.85,13,高城駅
パーソナルＹＨ,大分県大分市牧３,牧駅,"ＪＲ日豊本線/牧駅 歩9分
ＪＲ日豊本線/高城駅 歩16分",築6年,3階,1LDK,36m2,5.4万円,https://suumo.jp/chintai/jnc_000049842364/?bc=100441722287,6,36.0,5.4,9,牧駅
Flower Continue,大分県大分市大字荏隈,南大分駅,"ＪＲ久大本線/南大分駅 歩9分
ＪＲ久大本線/賀来駅 歩30分
ＪＲ久大本線/古国府駅 歩36分",築4年,5階,1LDK,41.6m2,5.9万円,https://suumo.jp/chintai/jnc_000099369632/?bc=100443578382,4,41.6,5.9,9,南大分駅
キャッスル坂ノ市,大分県大分市坂ノ市中央１,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩6分
ＪＲ日豊本線/大在駅 歩40分
ＪＲ日豊本線/鶴崎駅 歩84分",築14年,,3LDK,76m2,6.8万円,https://suumo.jp/chintai/jnc_000097411141/?bc=100428405686,14,76.0,6.8,6,坂ノ市駅
メゾンドクレチュール,大分県大分市古国府４,古国府駅,ＪＲ久大本線/古国府駅 歩10分,築10年,8階,1DK,30.69m2,5万円,https://suumo.jp/chintai/jnc_000099390727/?bc=100443675256,10,30.69,5.0,10,古国府駅
レオパーク,大分県大分市角子南２,大在駅,ＪＲ日豊本線/大在駅 歩10分,築7年,2階,1LDK,52.38m2,5.35万円,https://suumo.jp/chintai/jnc_000099298355/?bc=100443055990,7,52.38,5.35,10,大在駅
ミレニアムＫＡＮ　II　Ａ棟,大分県大分市大字中戸次,中判田駅,ＪＲ豊肥本線/中判田駅 バス3分 (バス停)へつぎ病院前 歩5分,築26年,2階,2LDK,58.53m2,4.7万円,https://suumo.jp/chintai/jnc_000091930528/?bc=100443059822,26,58.53,4.7,5,中判田駅
セピアコート,大分県大分市角子原２,大在駅,ＪＲ日豊本線/大在駅 歩12分,築23年,2階,2DK,42.77m2,4.4万円,https://suumo.jp/chintai/jnc_000097937241/?bc=100432686866,23,42.77,4.4,12,大在駅
エアリ メゾンI,大分県大分市汐見１,大在駅,ＪＲ日豊本線/大在駅 歩18分,築18年,2階,1LDK,46.49m2,4.6万円,https://suumo.jp/chintai/jnc_000099200289/?bc=100436350188,18,46.49,4.6,18,大在駅
サンガーデン片島,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩12分,築28年,2階,2LDK,51.37m2,5.5万円,https://suumo.jp/chintai/jnc_000099481743/?bc=100444196766,28,51.37,5.5,12,滝尾駅
ルヴァンヴェール,大分県大分市大字永興,南大分駅,ＪＲ久大本線/南大分駅 歩16分,築6年,8階,1DK,30.02m2,5.2万円,https://suumo.jp/chintai/jnc_000099381379/?bc=100444628611,6,30.02,5.2,16,南大分駅
Ｐｒｏｍｅｎａｄｅ　Ｓ．Ｔ,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩12分
ＪＲ久大本線/南大分駅 歩18分",築18年,2階,1LDK,37.13m2,4.45万円,https://suumo.jp/chintai/jnc_000091380279/?bc=100427309713,18,37.13,4.45,12,賀来駅
トレステーラ　プランドールIV,大分県大分市竹の上,南大分駅,ＪＲ久大本線/南大分駅 歩6分,築9年,5階,1DK,29.69m2,4.7万円,https://suumo.jp/chintai/jnc_000099502745/?bc=100444768244,9,29.69,4.7,6,南大分駅
コンフォールコートＣ,大分県大分市浜中,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩5分
ＪＲ日豊本線/大在駅 バス9分 (バス停)坂の市 歩8分
ＪＲ日豊本線/大分駅 バス44分 (バス停)坂の市 歩8分",築22年,2階,2LDK,51.67m2,4.5万円,https://suumo.jp/chintai/jnc_000094164980/?bc=100410005592,22,51.67,4.5,5,坂ノ市駅
ロゼア鶴崎駅前,大分県大分市北鶴崎１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩6分
ＪＲ日豊本線/大在駅 歩43分
ＪＲ日豊本線/高城駅 歩47分",築6年,5階,1LDK,41.6m2,5.3万円,https://suumo.jp/chintai/jnc_000099193187/?bc=100442183504,6,41.6,5.3,6,鶴崎駅
イースト・カズ,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩22分,築17年,2階,1LDK,42.37m2,4.7万円,https://suumo.jp/chintai/jnc_000081501212/?bc=100438850119,17,42.37,4.7,22,牧駅
スターテラス　小池原,大分県大分市大字小池原,高城駅,ＪＲ日豊本線/高城駅 歩22分,築17年,2階,1LDK,44.52m2,4.7万円,https://suumo.jp/chintai/jnc_000014853639/?bc=100431787894,17,44.52,4.7,22,高城駅
ＪＲ日豊本線 大在駅 2階建 築31年,大分県大分市竹下１,大在駅,"ＪＲ日豊本線/大在駅 歩8分
ＪＲ日豊本線/坂ノ市駅 バス8分 (バス停)平野 歩5分
ＪＲ日豊本線/大分駅 バス39分 (バス停)平野 歩5分",築31年,2階,2LDK,54.34m2,5万円,https://suumo.jp/chintai/jnc_000099397802/?bc=100444067618,31,54.34,5.0,8,大在駅
プロムナードＳ．Ｔ　III,大分県大分市賀来北１,賀来駅,ＪＲ久大本線/賀来駅 歩12分,築8年,2階,2LDK,58.93m2,6.35万円,https://suumo.jp/chintai/jnc_000099331528/?bc=100443411690,8,58.93,6.35,12,賀来駅
クレールメゾン　Ｂ,大分県大分市坂ノ市西２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩18分
ＪＲ日豊本線/大在駅 歩49分
ＪＲ日豊本線/鶴崎駅 歩94分",築22年,2階,2LDK,53.59m2,5.6万円,https://suumo.jp/chintai/jnc_000096780777/?bc=100429066525,22,53.59,5.6,18,坂ノ市駅
プレミール８番館,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
大分バス/羽田入口 歩1分",築20年,3階,1LDK,44.8m2,5.3万円,https://suumo.jp/chintai/jnc_000059184423/?bc=100443583303,20,44.8,5.3,20,滝尾駅
メゾン　エトワールII,大分県大分市小中島２,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩19分,築18年,2階,2DK,40.45m2,4.55万円,https://suumo.jp/chintai/jnc_000097686240/?bc=100434107463,18,40.45,4.55,19,鶴崎駅
アルバ０７,大分県大分市賀来西２,賀来駅,ＪＲ久大本線/賀来駅 歩13分,築19年,2階,2LDK,61.6m2,6.6万円,https://suumo.jp/chintai/jnc_000085706600/?bc=100439720995,19,61.6,6.6,13,賀来駅
ＪＲ久大本線 賀来駅 2階建 築19年,大分県大分市賀来西２,賀来駅,"ＪＲ久大本線/賀来駅 歩13分
ＪＲ日豊本線/大分駅 バス23分 (バス停)下角の前 歩5分",築19年,2階,2LDK,61.6m2,6.6万円,https://suumo.jp/chintai/jnc_000098882730/?bc=100444067646,19,61.6,6.6,13,賀来駅
サンライト才賀　II,大分県大分市賀来北１,賀来駅,ＪＲ久大本線/賀来駅 歩11分,築7年,2階,1LDK,44.66m2,5.5万円,https://suumo.jp/chintai/jnc_000099560376/?bc=100439721020,7,44.66,5.5,11,賀来駅
アクシオンIII,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩25分,築14年,3階,1LDK,44.8m2,5.5万円,https://suumo.jp/chintai/jnc_000099457248/?bc=100444038644,14,44.8,5.5,25,牧駅
ウィンディア高木,大分県大分市徳島３,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩17分
ＪＲ日豊本線/大在駅 歩48分",築30年,2階,2LDK,52.84m2,4.3万円,https://suumo.jp/chintai/jnc_000098030293/?bc=100444444070,30,52.84,4.3,17,鶴崎駅
フォルトゥーナ横尾A・B　B棟,大分県大分市横尾東町３,,-/大分バス　中筋 歩3分,築6年,2階,1LDK,42m2,5.7万円,https://suumo.jp/chintai/jnc_000056537547/?bc=100434111539,6,42.0,5.7,3,
